ra,endereço,lat,lon
Ceilândia,"VIA M3 - NORTE, PROX. CASA ESPIRITA BATUIRA, EM FRENTE À QNM24, CONJ O",-15.800906,-48.107415
Gama,"VIA ENTRE QUADRAS - SETOR LESTE, QD 45, PRÓX. AO CHURRASQUINHO DO BARBOSINHA",-15.999626,-48.053231
Plano Piloto,"VIA DE LIGAÇÃO - ASA NORTE, STN, PRÓX. AO TERMINAL ASA NORTE",-15.736279999999999,-47.906292
Taguatinga,"AV. HÉLIO PRATES, QNL 23, PRÓX. AO BLOCO D, CRUZAMENTO",-15.810413,-48.090188
Plano Piloto,"VIA S - 712, SGAS 912, PRÓXIMO AO COLÉGIO OLIMPO, SENTIDO PARQUE DA CIDADE",-15.815066,-47.921218
Ceilândia,"VIA ENTRE QUADRAS - COND. SOL NASCENTE, VIA 58, QNP 27, AE, PRÓX. AO FORT ATACADISTA",-15.808392,-48.145882
Águas Claras,"VIA INTERNA - SH ARNIQUEIRAS, QS 11 CJ T, EM FRENTE À IGREJA BATISTA",-15.868232,-48.015258
Samambaia,"1ª AV. - SUL, PRÓX. AO 2º DER, SENT. BR 060",-15.877454,-48.052194
Ceilândia,"VIA M3 - NORTE, EM FRENTE AO COLÉGIO MILITAR DOM PEDRO II",-15.802566,-48.106159
Taguatinga,"AV. ELMO SEREJO, QNL 14, PRÓX. AO CENTRO METROPOLITANO, PONTO DE ÔNIBUS, SENTIDO CEILÂNIDIA",-15.835351,-48.087102
Ceilândia,"VIA M2 - NORTE, QNM 24 CJ B, PRÓX. AO LOJÃO DO FORRO",-15.800333,-48.113319
Plano Piloto,"VIA DE LIGAÇÃO - EIXO MONUMENTAL, ALÇA RODOVIÁRIA, SENT. VIA N1/CNB",-15.795057,-47.880987
Taguatinga,"VIA LJ 01, QNL 8 PRÓX. AO BL B, SENT. À HÉLIO PRATES",-15.821822,-48.080823
Núcleo Bandeirante,"VIA NB-4, PRÓX. AO POSTO SAM REMI, BALÃO NÚCLEO BANDEIRANTE",-15.871834,-47.973106
